Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,89.239998,90.269997,79.889999,86.680000,82.407524,16645130
2020-03-02,86.860001,88.550003,78.000000,80.169998,76.218399,23975545
2020-03-09,80.169998,80.760002,63.500000,64.000000,60.845425,25504810
2020-03-16,64.000000,71.500000,64.000000,66.370003,63.098610,20626710
2020-03-23,64.889999,72.500000,63.270000,67.190002,63.878193,28600647
2020-03-30,67.000000,75.959999,65.709999,73.589996,69.962730,24594510
2020-04-06,74.500000,80.000000,74.040001,78.169998,74.316978,20626300
2020-04-13,77.900002,80.940002,73.000000,78.260002,74.402550,20837746
2020-04-20,78.550003,79.680000,75.000000,77.379997,73.565918,17733719
2020-04-27,77.889999,83.779999,77.500000,82.099998,78.053268,15282940
2020-05-04,81.400002,83.849998,79.389999,82.550003,78.481094,11707893
2020-05-11,82.550003,82.970001,79.730003,80.879997,76.893402,8574630
2020-05-18,81.099998,83.900002,80.739998,81.620003,77.596931,14602930
2020-05-25,81.699997,82.940002,80.290001,82.919998,78.832855,12803049
2020-06-01,83.000000,85.580002,82.010002,84.900002,80.715263,15058268
2020-06-08,84.900002,85.349998,82.709999,84.000000,79.859619,10192928
2020-06-15,82.820000,86.800003,80.680000,86.800003,82.521606,26731282
2020-06-22,86.099998,89.779999,83.230003,89.120003,84.727257,17059438
2020-06-29,89.190002,90.360001,87.500000,88.089996,83.748016,10310597
2020-07-06,88.419998,90.250000,85.300003,87.029999,82.740273,12479411
2020-07-13,87.489998,88.000000,84.820000,87.160004,82.863869,8016820
2020-07-20,87.099998,90.849998,84.080002,89.500000,85.088524,12784614
2020-07-27,90.260002,91.910004,89.470001,89.879997,85.449791,9163681
2020-08-03,90.199997,97.730003,90.199997,95.930000,91.201584,22830031
2020-08-10,96.110001,99.099998,95.860001,98.790001,93.920616,17217155
2020-08-17,99.000000,101.790001,95.290001,96.989998,92.209335,30151386
2020-08-24,97.379997,98.400002,96.620003,97.480003,97.480003,13285895
2020-08-31,97.510002,98.199997,95.660004,97.290001,97.290001,14629485
2020-09-07,97.070000,97.330002,93.930000,94.709999,94.709999,10748895
2020-09-14,95.190002,98.029999,94.980003,97.320000,97.320000,16259717
2020-09-21,97.360001,100.349998,95.900002,98.440002,98.440002,15901479
2020-09-28,98.330002,100.040001,95.930000,97.279999,97.279999,12751933
2020-10-05,97.349998,97.349998,92.559998,92.949997,92.949997,10893681
2020-10-12,92.900002,95.730003,92.599998,94.629997,94.629997,8745367
2020-10-19,94.000000,96.339996,92.919998,95.430000,95.430000,10353580
2020-10-26,95.099998,95.980003,90.620003,92.699997,92.699997,10634171
2020-11-02,92.430000,94.389999,91.120003,93.510002,93.510002,8180276
2020-11-09,94.959999,98.000000,94.040001,96.849998,96.849998,16658195
2020-11-16,97.000000,97.489998,94.599998,95.070000,95.070000,11449520
2020-11-23,95.279999,96.790001,94.000000,96.489998,96.489998,11944969
2020-11-30,96.440002,98.120003,94.709999,97.529999,97.529999,12070263
2020-12-07,97.860001,98.089996,96.019997,96.160004,96.160004,10476685
2020-12-14,96.900002,97.099998,94.660004,95.050003,95.050003,11535741
2020-12-21,95.349998,95.349998,92.099998,94.989998,94.989998,9058232
2020-12-28,94.769997,97.059998,94.769997,96.510002,96.510002,6076745
2021-01-04,97.470001,101.500000,96.410004,99.279999,99.279999,9613031
2021-01-11,99.989998,100.750000,98.260002,99.400002,99.400002,12480575
2021-01-18,98.879997,104.260002,98.470001,101.900002,101.900002,18786336
2021-01-25,102.900002,106.260002,100.610001,101.269997,101.269997,27671243
2021-02-01,101.599998,104.570000,100.070000,103.970001,103.970001,9549893
2021-02-08,104.489998,105.839996,101.230003,104.500000,104.500000,8727360
2021-02-15,104.239998,109.889999,103.150002,109.720001,109.720001,15985120
2021-02-22,110.389999,111.000000,107.239998,108.370003,108.370003,11230120
2021-03-01,110.239998,110.769997,105.379997,106.879997,106.879997,13308280
2021-03-08,106.879997,110.889999,105.309998,108.629997,108.629997,10292740
2021-03-15,108.290001,110.559998,107.680000,108.830002,108.830002,4273260
