Date,Open,High,Low,Close,Adj Close,Volume
2020-03-05,16.299999,16.399000,15.658000,15.658000,15.542027,43757900
2020-03-06,15.310000,15.567000,14.770000,14.982000,14.871035,52976300
2020-03-10,13.484000,14.585000,12.500000,13.640000,13.538975,75759700
2020-03-11,13.750000,14.236000,12.650000,12.855000,12.759788,57853300
2020-03-12,12.300000,12.363000,11.240000,11.250000,11.166676,95322200
2020-03-13,11.250000,11.250000,11.250000,11.250000,11.166676,0
2020-03-16,11.250000,11.250000,11.250000,11.250000,11.166676,0
2020-03-17,11.400000,11.992000,10.680000,11.130000,11.047565,67662600
2020-03-18,11.042000,12.000000,10.354000,10.789000,10.709090,80303800
2020-03-19,11.051000,12.195000,10.780000,12.055000,11.965714,92003900
2020-03-20,12.500000,13.498000,12.314000,12.480000,12.387566,99178600
2020-03-23,11.861000,12.380000,11.762000,11.860000,11.772158,55548500
2020-03-24,12.546000,12.900000,12.131000,12.500000,12.407417,69539000
2020-03-25,12.880000,13.476000,12.089000,12.677000,12.583107,90680500
2020-03-26,12.550000,12.655000,12.120000,12.300000,12.208899,66280100
2020-03-27,12.450000,12.748000,11.931000,12.160000,12.069936,63377200
2020-03-30,11.834000,12.450000,11.834000,12.373000,12.281359,52667700
2020-03-31,12.590000,13.185000,12.484000,13.115000,13.017862,72123400
2020-04-01,12.853000,13.097000,12.529000,12.930000,12.834233,37742100
2020-04-02,13.290000,13.403000,12.661000,13.010000,12.913640,57757600
2020-04-03,13.050000,13.475000,12.944000,13.304000,13.205462,52951000
2020-04-06,13.509000,13.970000,13.450000,13.950000,13.846678,57425000
2020-04-07,14.131000,14.779000,13.685000,13.960000,13.856604,103422400
2020-04-08,13.840000,14.410000,13.670000,14.160000,14.055122,48984800
2020-04-09,14.256000,14.670000,13.750000,14.120000,14.015419,91712100
2020-04-10,14.199000,14.350000,13.909000,14.330000,14.223864,20088500
2020-04-13,14.400000,14.444000,13.800000,14.051000,13.946930,28053700
2020-04-14,14.112000,14.276000,13.803000,13.829000,13.726575,36791900
2020-04-15,13.782000,13.828000,13.110000,13.170000,13.072455,70871500
2020-04-16,13.160000,13.448000,12.865000,13.000000,12.903714,68107402
2020-04-17,13.239000,13.370000,13.140000,13.327000,13.228292,24730800
